text_content,title,city,source_platform,content_language,post_date,post_date_precision,review_rating,poi_id,poi_name,poi_category,detected_language,source_record_id,record_id,title_has_text,body_has_text,text_scope,text_length_chars,snownlp_positive_prob,snownlp_centered_score,sentiment_category,sentiment_norm,sentiment_score,emotional_intensity_score,reviewed_positive_terms_matched,reviewed_negative_terms_matched,reviewed_recommendation_terms_matched,transport_access,wayfinding_signage,language_information_gap,staff_communication,booking_ticketing,waiting_crowding,price_value,cleanliness_comfort,opening_hours_availability,itinerary_fit_time_cost,accessibility_mobility,food_amenities_gap,scenic_nature,temples_spiritual,history_culture,dinosaurs_museums,food_local_cuisine,hot_springs_relaxation,crafts_shopping,fan_pilgrimage_pop_culture,accommodation,seasonal_events,positive_sentiment,negative_sentiment,recommendation_intent,friction_codes,any_friction,topic_codes,any_topic,enjoyment_evidence_codes,any_enjoyment_evidence
"丸岡城（Maruoka Castle）位於福井縣坂井市，是一座擁有悠久歷史與獨特建築風格的古城。它最著名的身分是**「日本現存十二天守」**之一，也是北陸地方唯一保存至今的江戶時代以前的天守閣。

以下是丸岡城的詳細介紹：

---

## 1. 歷史背景
* **建造年份：** 始建於天正4年（1576年）。
* **建造者：** 由織田信長手下的名將**柴田勝家**命其外甥**柴田勝豐**所建，目的是為了防範一向一揆（宗教起義）。
* **別名：** 又稱為**「霞城」**。傳說當敵人襲來時，城前的古井會吐出大霧將城堡遮蔽，因而得名。

## 2. 建築特色
丸岡城的天守閣規模雖小，卻充滿了戰國時代的古樸與剛毅：

* **古老的石垣：** 採用的堆砌方式稱為**「野面積」**（野面積み），即使用未經加工的自然石塊堆疊。這種方式雖然外觀粗獷，但排水性極佳，堅固耐用。
* **笏谷石屋瓦：** 這是丸岡城最大的特色。考慮到北陸地區冬季嚴寒且積雪深重，一般的瓦片容易凍裂，因此整座天守閣使用了約 **6,000 片**由當地特產「笏谷石」製成的石瓦，總重量高達 **120 公噸**。
* **陡峭的樓梯：** 城內的木製樓梯極其陡峭（傾斜度達 **65度** 與 **67度**），遊客攀登時通常需要藉助一旁的輔助繩索，這也是為了防禦敵軍迅速攻入而設計的。

## 3. 櫻花名所
丸岡城是**「日本櫻名所100選」**之一。
* 城池周邊種植了約 **400 棵**染井吉野櫻。
* 每年 4 月上旬至中旬櫻花盛開時，整座古城彷彿浮在粉紅色的花海之上，完美契合了「霞城」的美名。夜晚也會舉行點燈活動，景色極為迷人。

## 4. 「一筆啟上」與日本最短家書
在丸岡城下的公園內，立有一座**「一筆啟上之碑」**。
這源於德川家康的家臣本多重次在戰場上寫給妻子的一封信，被譽為日本最短的家書：
> **「一筆啟上，火之用心，阿仙莫啼，馬肥矣。」**
> （簡要告知：注意火燭，別讓孩子阿仙哭泣，把馬餵肥。）
信中的「阿仙」後來成為了丸岡藩的第一代藩主本多成重。丸岡町也因此每年舉辦全國性的「日本最短書信」比賽。

---

## 旅遊資訊
* **地址：** 福井縣坂井市丸岡町霞町1-59
* **交通：** 從 JR「福井站」搭乘巴士約 40-50 分鐘即可抵達；若從「蘆原溫泉站」出發則約 20 分鐘。
* **開放時間：** 08:30 - 17:00（最後入場 16:30）

如果您喜歡歷史建築與攝影，丸岡城那種充滿力量感的石垣與石瓦，絕對是北陸行程中不可錯過的亮點。",,Fukui,google_review,zh,2026-04-14T04:39:22+00:00,exact,4,ChIJeXrpXVzr-F8RyAOcr44yWRM,Maruoka Castle,castle_historic,zh-tw,7c527b4266fa,7c527b4266fa,False,True,title_and_body,1097,0.0,-1.0,negative,0.0,-1.0,1.0,美|喜歡,一般,,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,True,True,False,['transport_access'],True,"['scenic_nature', 'history_culture', 'hot_springs_relaxation', 'seasonal_events']",True,['positive_sentiment'],True
有纪念价值的城堡,,Fukui,google_review,zh,2026-04-08T12:58:26+00:00,exact,4,ChIJeXrpXVzr-F8RyAOcr44yWRM,Maruoka Castle,castle_historic,zh-cn,cf268915a6bd,cf268915a6bd,False,True,title_and_body,8,0.972176,0.944353,positive,0.972176,0.944353,0.944353,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,[],False,['history_culture'],True,[],False
圧倒的虚無感。,,Fukui,google_review,zh,2026-04-04T00:16:40+00:00,exact,3,ChIJURrLAcCb-F8R7ve1owwGkFQ,Echizen Daibutsu,temple_shrine,zh-cn,863e2b049045,863e2b049045,False,True,title_and_body,7,0.217714,-0.564572,negative,0.217714,-0.564572,0.564572,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],False,[],False,[],False
很漂亮，值得一來,,Fukui,google_review,zh,2026-04-12T08:40:53+00:00,exact,3,ChIJ6bzBzd_6AWARLbfcyIwSzXc,Kehi Grand Shrine,temple_shrine,zh-tw,7bea44b54b91,7bea44b54b91,False,True,title_and_body,8,0.971215,0.942431,positive,0.971215,0.942431,0.942431,值得,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,[],False,[],False,['positive_sentiment'],True
"很喜歡它的名字有
在當地有「阿氣神宮（KEISAN）」的暱稱，很可愛

門前吸睛的紅色大鳥居建於1645年，高度達11公尺，順利躲過了戰火摧殘保存到現在，和奈良春日大社與廣島的嚴島神宮的鳥居並列為日本三大木造鳥居",,Fukui,google_review,zh,2026-03-21T02:05:05+00:00,exact,5,ChIJ6bzBzd_6AWARLbfcyIwSzXc,Kehi Grand Shrine,temple_shrine,zh-tw,db198ea25210,db198ea25210,False,True,title_and_body,106,0.001057,-0.997886,negative,0.001057,-0.997886,0.997886,喜歡,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,[],False,[],False,['positive_sentiment'],True
2026／1／29 來到敦賀，就是離京都最近也最容易下雪的城市，而氣比神宮則是必訪，沿著車站前的商店街長廊就可以走到，也可以搭巴士很快抵達。住在京都的我，純粹來玩雪，不用跑太遠，這個冬日已經來了2次，都是大雪紛飛，好不浪漫！,,Fukui,google_review,zh,2026-03-17T14:00:12+00:00,exact,5,ChIJ6bzBzd_6AWARLbfcyIwSzXc,Kehi Grand Shrine,temple_shrine,zh-tw,09846418c669,09846418c669,False,True,title_and_body,112,0.988957,0.977914,positive,0.988957,0.977914,0.977914,好,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,['transport_access'],True,['history_culture'],True,['positive_sentiment'],True
不错，喜欢的人可以路顺去看下。就在车站附近，走路25分钟可以到的,,Fukui,google_review,zh,2026-02-26T13:09:17+00:00,exact,4,ChIJ6bzBzd_6AWARLbfcyIwSzXc,Kehi Grand Shrine,temple_shrine,zh-cn,717913cc753e,717913cc753e,False,True,title_and_body,32,0.960594,0.921189,positive,0.960594,0.921189,0.921189,喜欢,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,[],False,[],False,['positive_sentiment'],True
非常雄伟的神宫,,Fukui,google_review,zh,2026-02-07T08:11:54+00:00,exact,5,ChIJ6bzBzd_6AWARLbfcyIwSzXc,Kehi Grand Shrine,temple_shrine,zh-cn,006468753403,006468753403,False,True,title_and_body,7,0.230828,-0.538343,negative,0.230828,-0.538343,0.538343,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],False,[],False,[],False
福井县的历史，一个曾经很繁荣富足的农业县。,,Fukui,google_review,zh,2025-02-01T07:56:03+00:00,exact,4,ChIJbwogDLK_-F8RXM2xGQqH-2o,Fukui Prefectural Museum,museum_cultural,zh-cn,6dee107c215c,6dee107c215c,False,True,title_and_body,21,0.833797,0.667594,positive,0.833797,0.667594,0.667594,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,[],False,['history_culture'],True,[],False
"一乘谷遺跡春櫻季節很值得拜訪，櫻花跟復原的建築相映成趣，可惜大概只開了一半，過幾天應該會更好。（造訪日期2026/04/01）
一乘谷的地形易守難攻，不過還是難敵第六天魔王，那著名的黃金頭顱酒杯 QAQ
這邊大概逛了兩小時，慢慢走了一圈，谷的兩端還有些零散的景點就沒去了",,Fukui,google_review,zh,2026-04-02T11:57:51+00:00,exact,5,ChIJs9voyKmk-F8RhYo0Lt2Qj3A,Ichijodani Asakura Ruins,castle_historic,zh-tw,40b60e461ac2,40b60e461ac2,False,True,title_and_body,135,0.787843,0.575686,positive,0.787843,0.575686,0.575686,好|值得,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,[],False,"['scenic_nature', 'history_culture']",True,['positive_sentiment'],True
"2025.11.22
是戰國時代朝倉氏的政治與文化中心，
坐落於群山環繞的谷地中。
城跡與城下町遺構保存完整，
展現武士政權的生活樣貌與城市規劃，
是福井最具代表性的歷史遺產。
難以想像距離福井市中心不到20分鐘車程的山谷中，
有如此遺世獨立的世外桃源，宛如人間仙境。
遺址的秋色帶著隱士般的淒美蒼涼，
🌸綻開時又是何等風情🤔
(許願🌸花季再訪🙏)",,Fukui,google_review,zh,2026-01-18T14:23:06+00:00,exact,5,ChIJs9voyKmk-F8RhYo0Lt2Qj3A,Ichijodani Asakura Ruins,castle_historic,zh-tw,b919ea992b5b,b919ea992b5b,False,True,title_and_body,174,0.9994,0.9988,positive,0.9994,0.9988,0.9988,美,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,[],False,['history_culture'],True,['positive_sentiment'],True
小巧但還是很美的日式庭院，門票很便宜，人潮不多，可以在裡面好好地拍照欣賞。,,Fukui,google_review,zh,2026-04-13T04:39:50+00:00,exact,4,ChIJy-L52va--F8R5MckLwfxx5Q,Yokokan Garden,nature_scenic,zh-tw,c78034c449cb,c78034c449cb,False,True,title_and_body,37,0.999914,0.999829,positive,0.999914,0.999829,0.999829,好|美,,,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,['booking_ticketing'],True,['scenic_nature'],True,['positive_sentiment'],True
在市中心非常細嘅庭園，由於到訪時未到紅葉季節。景色一般。十五分鐘行完,,Fukui,google_review,zh,2025-11-23T01:17:24+00:00,exact,3,ChIJy-L52va--F8R5MckLwfxx5Q,Yokokan Garden,nature_scenic,zh-tw,deb3cd6e9a08,deb3cd6e9a08,False,True,title_and_body,34,0.803667,0.607335,positive,0.803667,0.607335,0.607335,,一般,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,[],False,['scenic_nature'],True,[],False
非常漂亮 值得来访,,Fukui,google_review,zh,2026-05-07T12:26:42+00:00,exact,5,ChIJeWyQ4nSc-F8RqsEstra2QXw,Heisenji Hakusan Shrine,temple_shrine,zh-cn,fccb78a18582,fccb78a18582,False,True,title_and_body,9,0.956788,0.913575,positive,0.956788,0.913575,0.913575,值得,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,[],False,[],False,['positive_sentiment'],True
"138.越前大野城 - 續日本百大名城的印章就在 大野城天守售票處之後

這城需不大，但要行的路不少，需行一段長樓梯上山，再步行一段路才可以到天守，比較需要體力。

我去的時候正是春天，上山的樓梯扶手都是班攻城的昆蟲們，他們都很努力上山，請攻城人仕勿用扶手。",,Fukui,google_review,zh,2026-05-10T14:23:10+00:00,exact,4,ChIJ159CBHmf-F8RGt75KkRKKAk,Echizen Ono Castle,castle_historic,zh-tw,6ce572930400,6ce572930400,False,True,title_and_body,129,0.99999,0.99998,positive,0.99999,0.99998,0.99998,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,[],False,"['history_culture', 'seasonal_events']",True,[],False
"很漂亮
但很熱",,Fukui,google_review,zh,2025-09-09T00:32:15+00:00,exact,5,ChIJ159CBHmf-F8RGt75KkRKKAk,Echizen Ono Castle,castle_historic,zh-tw,9669b3e95f23,9669b3e95f23,False,True,title_and_body,7,0.965258,0.930516,positive,0.965258,0.930516,0.930516,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],False,[],False,[],False
當日休館（可能國定休息日影響，而改咗星期二休息）,,Fukui,google_review,zh,2026-04-28T04:15:10+00:00,exact,2,ChIJyRr6CB77AWARVIREzBtLfVU,Tsuruga Red Brick Warehouse,castle_historic,zh-tw,7e03cf5baa21,7e03cf5baa21,False,True,title_and_body,24,0.05592,-0.88816,negative,0.05592,-0.88816,0.88816,,,,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,"['cleanliness_comfort', 'opening_hours_availability']",True,[],False,[],False
历史建筑改造的美食广场,,Fukui,google_review,zh,2026-02-07T08:09:34+00:00,exact,4,ChIJyRr6CB77AWARVIREzBtLfVU,Tsuruga Red Brick Warehouse,castle_historic,zh-cn,5d8568a6e0ae,5d8568a6e0ae,False,True,title_and_body,11,0.982357,0.964713,positive,0.982357,0.964713,0.964713,美,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,[],False,['history_culture'],True,['positive_sentiment'],True
很細的景點，裏面就只有一個小型展館，手信店，2間餐廳，盃值得來,,Fukui,google_review,zh,2026-01-24T17:28:21+00:00,exact,3,ChIJyRr6CB77AWARVIREzBtLfVU,Tsuruga Red Brick Warehouse,castle_historic,zh-tw,d82e7e6baa05,d82e7e6baa05,False,True,title_and_body,31,0.547134,0.094268,positive,0.547134,0.094268,0.094268,值得,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,[],False,['dinosaurs_museums'],True,['positive_sentiment'],True
詳細的介紹,,Fukui,google_review,zh,2024-08-30T10:57:20+00:00,exact,5,ChIJtQ_j9GHQAWARZPAuYfmDytk,Wakasa Obama Furusato,museum_cultural,zh-tw,125c7f508635,125c7f508635,False,True,title_and_body,5,0.703406,0.406813,positive,0.703406,0.406813,0.406813,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,[],False,[],False,[],False
"造訪日:20241227
自駕停車很方便，鮮紅色的雄島橋搭配洶湧的海波濤與碩高的岩壁裸石，景色十分優美~
一個約1,300萬年前形成的無人島""雄島""上周遊一周總長約1公里，路徑上能看到「大湊神社」、「雄島燈塔」等等建物~
沿著山徑與海岸線遊走一圈不會很困難，不過12月底前來那強勁的海風吹來，真的非常的冷~",,Fukui,google_review,zh,2025-03-31T06:56:08+00:00,exact,5,ChIJcVpMcTbk-F8R7WqKe882_BU,Oshima Island Fukui,nature_scenic,zh-tw,7ec281e0de77,7ec281e0de77,False,True,title_and_body,153,0.000227,-0.999545,negative,0.000227,-0.999545,0.999545,美,,,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,['transport_access'],True,['temples_spiritual'],True,['positive_sentiment'],True
免費入場，有很多很可愛的小熊貓，旁邊的商店有很多小熊貓紀念品，十分推薦😍,,Fukui,google_review,zh,2026-05-16T13:37:32+00:00,exact,5,ChIJU-BHNSiw-F8RqNCAmMgkjnk,Nishiyama Park Sabae,nature_scenic,zh-tw,5f631877aa35,5f631877aa35,False,True,title_and_body,36,0.967707,0.935415,positive,0.967707,0.935415,0.935415,推薦,,推薦,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,[],False,[],False,"['recommendation_intent', 'positive_sentiment']",True
"散步賞櫻，闔家走走的好地方。

老少咸宜。有大草坪給小孩防風跑跳。旁邊就是西山公園道之駅，有食堂跟販賣部。

或者可以自備食物來野餐。",,Fukui,google_review,zh,2026-03-30T03:40:51+00:00,exact,4,ChIJU-BHNSiw-F8RqNCAmMgkjnk,Nishiyama Park Sabae,nature_scenic,zh-tw,6c768b65f069,6c768b65f069,False,True,title_and_body,67,0.989567,0.979135,positive,0.989567,0.979135,0.979135,好,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,[],False,[],False,['positive_sentiment'],True
"西山公園（にしやまこうえん）位於鯖江市中心，是福井縣內著名的紅葉觀賞勝地之一，2006年入選「日本歴史公園100選」。
西山公園的歷史可追溯至1856年（安政3年），公園所在的區域原本是鯖江藩的領地，當時鯖江藩第7代藩主間部詮勝下令築園，並命名為「嚮陽溪」（きょうようけい），作為與領民共享休憩場所。
1889年，嚮陽溪連同周邊區域成立了町立嚮陽公園，1914年大正天皇即位後，此地就更名為「西山公園」。
西山公園為鯖江市最早成立的公園，園內有約5萬株杜鵑、1600棵楓樹和1000棵櫻花，一年四季皆有風景可賞。",,Fukui,google_review,zh,2025-12-17T11:54:22+00:00,exact,5,ChIJU-BHNSiw-F8RqNCAmMgkjnk,Nishiyama Park Sabae,nature_scenic,zh-tw,4e29176bc7f7,4e29176bc7f7,False,True,title_and_body,256,1.0,1.0,positive,1.0,1.0,1.0,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,[],False,"['scenic_nature', 'history_culture']",True,[],False
櫻花季來臨，值得推薦,,Fukui,google_review,zh,2026-04-12T14:57:03+00:00,exact,5,ChIJAY1tXQ6_-F8RepRYxjSXPVM,Asuwa River Promenade,nature_scenic,zh-tw,5e4650a89160,5e4650a89160,False,True,title_and_body,10,0.852236,0.704472,positive,0.852236,0.704472,0.704472,值得|推薦,,推薦,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,[],False,['scenic_nature'],True,"['recommendation_intent', 'positive_sentiment']",True
"2026.04.08
今年的足羽川櫻花季已經結束，花況不好，已經掉超過一半。但櫻花季還在持續中，晚上還是有夜櫻可以看。",,Fukui,google_review,zh,2026-04-08T15:41:24+00:00,exact,5,ChIJAY1tXQ6_-F8RepRYxjSXPVM,Asuwa River Promenade,nature_scenic,zh-tw,14fc7c203c91,14fc7c203c91,False,True,title_and_body,59,0.01161,-0.97678,negative,0.01161,-0.97678,0.97678,好,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,[],False,['scenic_nature'],True,['positive_sentiment'],True
很美的樱花,,Fukui,google_review,zh,2026-04-08T12:56:57+00:00,exact,4,ChIJAY1tXQ6_-F8RepRYxjSXPVM,Asuwa River Promenade,nature_scenic,zh-cn,3046e4fa8bbb,3046e4fa8bbb,False,True,title_and_body,5,0.931056,0.862112,positive,0.931056,0.862112,0.862112,美,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,[],False,['scenic_nature'],True,['positive_sentiment'],True
温泉民宿三国缘：和风建筑、日式庭院、温泉私汤，放松身心,,Fukui,google_review,zh,2025-08-23T05:15:38+00:00,exact,5,ChIJAY1tXQ6_-F8RepRYxjSXPVM,Asuwa River Promenade,nature_scenic,zh-cn,9bf529453ad5,9bf529453ad5,False,True,title_and_body,27,0.997938,0.995876,positive,0.997938,0.995876,0.995876,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,[],False,"['history_culture', 'hot_springs_relaxation']",True,[],False
很漂亮的櫻花，舒服的天氣，很棒👍,,Fukui,google_review,zh,2025-04-13T02:11:43+00:00,exact,5,ChIJAY1tXQ6_-F8RepRYxjSXPVM,Asuwa River Promenade,nature_scenic,zh-tw,bba9a49f00b4,bba9a49f00b4,False,True,title_and_body,16,0.539336,0.078673,positive,0.539336,0.078673,0.078673,舒服,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,[],False,['scenic_nature'],True,['positive_sentiment'],True
